6,4,pa2-debug-c-EM-nav.txt
  379.21,   385.30,   428.40
  339.87,   412.59,   415.18
  300.65,   439.68,   401.88
  375.48,   397.81,   466.34
  336.33,   425.15,   453.20
  297.27,   452.34,   439.96
  370.31,   428.90,   448.60
  383.40,   436.41,   496.51
  396.36,   443.82,   544.14
  395.73,   398.30,   446.07
  408.78,   405.76,   493.90
  421.73,   413.17,   541.51
  487.42,   380.41,   430.88
  527.45,   398.78,   407.25
  567.64,   417.18,   383.61
  497.55,   401.90,   463.67
  537.56,   420.32,   440.00
  577.78,   438.69,   416.19
  399.49,   383.55,   328.95
  380.36,   429.30,   335.66
  361.37,   475.01,   342.54
  423.90,   389.33,   360.78
  404.76,   435.29,   367.67
  385.71,   481.20,   374.65
