8, 8, 27, 125, pa2-unknown-i-calreadings.txt
   -7.25,     5.52, -1499.97
   -6.52,     4.97, -1349.98
   -5.76,   155.51, -1499.43
   -5.04,   154.96, -1349.43
  142.74,     4.04, -1500.70
  143.47,     3.48, -1350.71
  144.23,   154.03, -1500.16
  144.95,   153.48, -1350.16
   95.21,   103.13, -1398.44
   96.82,   102.84, -1148.44
   92.61,   353.11, -1398.13
   94.22,   352.82, -1148.14
  345.19,   105.73, -1400.04
  346.80,   105.44, -1150.05
  342.59,   355.72, -1399.74
  344.20,   355.43, -1149.74
  102.45,    97.86,   105.52
  101.60,    98.21,   230.23
  101.50,    99.75,   353.14
   98.25,   221.92,   105.32
   99.23,   221.28,   230.39
  100.51,   222.42,   351.45
   93.81,   347.93,   103.26
   94.92,   345.84,   226.56
   96.42,   345.59,   349.98
  226.11,   102.03,   107.65
  223.48,   100.94,   231.82
  225.38,    99.33,   352.56
  221.40,   226.26,   106.79
  220.79,   225.98,   231.59
  224.91,   224.93,   350.72
  218.71,   351.23,   102.74
  220.58,   351.02,   227.63
  222.82,   350.70,   350.12
  350.79,   107.57,   104.22
  350.88,   106.06,   230.18
  352.30,   102.81,   352.66
  347.52,   231.14,   102.97
  349.46,   229.98,   230.39
  351.64,   228.07,   351.39
  344.92,   353.45,   101.55
  348.26,   354.10,   228.43
  349.71,   353.70,   350.83
   11.31,     0.91, -1499.96
   10.18,     0.82, -1349.96
    9.83,   150.90, -1499.88
    8.70,   150.81, -1349.88
  161.30,     2.39, -1498.83
  160.17,     2.30, -1348.83
  159.82,   152.38, -1498.75
  158.69,   152.29, -1348.75
  108.85,   103.57, -1273.39
  102.89,   109.70, -1023.53
  104.72,   353.46, -1279.61
   98.77,   359.59, -1029.76
  358.74,   107.84, -1267.54
  352.79,   113.97, -1017.68
  354.62,   357.73, -1273.76
  348.67,   363.86, -1023.91
  101.02,   100.72,   229.53
   98.54,   105.08,   352.45
   97.38,   109.12,   475.48
   99.54,   223.62,   226.53
   98.95,   227.42,   347.71
   97.99,   232.30,   470.08
   97.04,   348.70,   219.77
   96.65,   351.15,   343.36
   95.73,   355.14,   469.00
  222.47,   101.58,   233.20
  222.14,   103.07,   353.67
  223.70,   105.27,   475.50
  221.33,   226.79,   230.25
  223.52,   228.81,   348.79
  224.75,   232.13,   469.98
  222.81,   352.06,   223.16
  223.05,   354.28,   345.44
  221.97,   357.83,   470.15
  349.78,   105.21,   233.90
  349.22,   104.75,   356.06
  347.45,   106.68,   477.35
